Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
78991,596922532,8105,8192,14,17.754,4470.74,1000,997,0,0,0,1355920,0,8.27767,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
80310,596922532,8104,8192,14,17.818,3083.29,1000,1002,0,0,0,1362720,0,8.26841,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
81629,596922532,8104,8192,14,17.788,3477.67,1000,1002,0,0,0,1362720,0,8.26596,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
82938,596922532,8105,8192,17,17.815,3184.61,1000,998,0,0,0,1357280,0,8.29023,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
84254,596922532,8105,8192,14,17.71,1757.63,1000,997,0,0,0,1355920,0,8.24267,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
85577,596922532,8104,8192,20,17.758,2638.46,1000,1004,0,0,0,1365440,0,8.25575,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
86892,596922532,8104,8192,20,17.767,3866.41,1000,999,0,0,0,1358640,0,8.26679,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
88204,596922532,8105,8192,21,17.776,2346.38,1000,997,0,0,0,1355920,0,8.27187,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
89527,596922532,8105,8192,20,17.785,742.164,1000,1005,0,0,0,1366800,0,8.26225,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
90839,596922532,8105,8192,21,17.891,2922.36,1000,998,0,0,0,1357280,0,8.27375,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
92154,596922532,8105,8192,21,17.786,3482.14,1000,999,0,0,0,1358640,0,8.26772,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
93466,596922532,8105,8192,20,17.924,3440.15,1000,996,0,0,0,1354560,0,8.26195,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
94781,596922532,8104,8192,20,17.834,3439.31,1000,1000,0,0,0,1360000,0,8.26997,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
96103,596922532,8105,8192,21,17.803,3626.92,1000,1005,0,0,0,1366800,0,8.27022,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
97415,596922532,8104,8192,28,17.757,4223.4,1000,1001,0,0,0,1361360,0,8.3045,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
98736,596922532,8104,8192,20,17.96,3109.13,1000,999,0,0,0,1358640,0,8.22981,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
100046,596922532,8105,8192,21,17.741,2083.72,1000,996,0,0,0,1354560,0,8.26922,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
101368,596922532,8104,8192,20,17.754,991.656,1000,1004,0,0,0,1365440,0,8.26228,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
102681,596922532,8104,8192,20,21.014,2637.6,1000,998,0,0,0,1357280,0,8.26998,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
104003,596922532,8105,8192,20,17.765,1652.02,1000,1004,0,0,0,1365440,0,8.26439,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
105314,596922532,8104,8192,21,17.769,1914.58,1000,997,0,0,0,1355920,0,8.27243,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
106629,596922532,8103,8192,13,17.91,2106.18,1000,1000,0,0,0,1360000,0,8.27452,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
107941,596922532,8100,8192,20,17.751,4224.12,1000,996,0,0,0,1354560,0,8.25815,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
109260,596922532,8104,8192,20,17.826,3253.33,1000,1002,0,0,0,1362720,0,8.26369,10,0,0,0,0,0,0,0,0,0,120,0,0,0,0
