Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
67399,797161664,679347,679347,0,78.349,2097.1,1000,0,0,0,0,0,0,0,12,63845,3,0,4,1,86829200,4080,0,10.3062,1000,0,0,0,0
68450,797161664,679347,679347,0,113.89,1320.9,1000,0,0,0,0,0,0,0,12,64808,8,1,4,1,88138880,10880,1360,10.3011,1000,0,0,0,0
69507,797161664,679347,679347,0,405.58,1542.86,1000,0,0,0,0,0,0,0,12,65401,11,3,15,5,88945360,14960,4080,10.2372,1000,0,0,0,0
70557,797161664,679347,679347,0,405.58,1418.62,1000,0,0,0,0,0,0,0,12,66139,15,6,17,6,89949040,20400,8160,10.1987,1000,0,0,0,0
71636,797161664,679347,679347,0,831.583,1262.04,1000,0,0,0,0,0,0,0,12,67062,21,14,20,9,91204320,28560,19040,10.1853,1000,0,0,0,0
72684,797161664,679347,679347,0,46.582,1457.15,1000,0,0,0,0,0,0,0,12,68973,21,14,22,11,93803280,28560,19040,10.3244,1000,0,0,0,0
73725,797161664,679347,679347,0,43.617,1311.64,1000,0,0,0,0,0,0,0,12,69960,21,14,22,11,95145600,28560,19040,10.3242,1000,0,0,0,0
74785,797161664,679347,679347,0,43.786,1310.93,1000,0,0,0,0,0,0,0,12,70967,21,14,22,11,96515120,28560,19040,10.3245,1000,0,0,0,0
75834,797161664,679347,679347,0,43.539,1393.56,1000,0,0,0,0,0,0,0,12,71964,21,14,22,11,97871040,28560,19040,10.3247,1000,0,0,0,0
76905,797161664,679347,679347,0,44.602,1348.02,1000,0,0,0,0,0,0,0,12,72981,21,14,22,11,99254160,28560,19040,10.3248,1000,0,0,0,0
77955,797161664,679347,679347,0,46.057,1347.2,1000,0,0,0,0,0,0,0,12,73978,21,14,22,11,100610080,28560,19040,10.3248,1000,0,0,0,0
79006,797161664,679347,679347,0,44.39,1302.72,1000,0,0,0,0,0,0,0,12,74972,21,14,22,11,101961920,28560,19040,10.3244,1000,0,0,0,0
80060,797161664,679347,679347,0,43.513,1514.57,1000,0,0,0,0,0,0,0,12,75983,21,14,22,11,103336880,28560,19040,10.3259,1000,0,0,0,0
81115,797161664,679347,679347,0,44.8,1415.1,1000,0,0,0,0,0,0,0,12,76976,21,14,22,11,104687360,28560,19040,10.3248,1000,0,0,0,0
82166,797161664,679347,679347,0,43.118,1368.18,1000,0,0,0,0,0,0,0,12,77977,21,14,22,11,106048720,28560,19040,10.3252,1000,0,0,0,0
83216,797161664,679347,679347,0,43.694,1421.42,1000,0,0,0,0,0,0,0,12,78974,21,14,22,11,107404640,28560,19040,10.3253,1000,0,0,0,0
84266,797161664,679347,679347,0,43.548,1300.39,1000,0,0,0,0,0,0,0,12,79972,21,14,22,11,108761920,28560,19040,10.3255,1000,0,0,0,0
85316,797161664,679347,679347,0,43.449,1132.08,1000,0,0,0,0,0,0,0,12,80969,21,14,22,11,110117840,28560,19040,10.3256,1000,0,0,0,0
86377,797161664,679347,679347,0,43.351,1384.62,1000,0,0,0,0,0,0,0,12,81976,21,14,22,11,111487360,28560,19040,10.3256,1000,0,0,0,0
87427,797161664,679347,679347,0,43.552,1544.56,1000,0,0,0,0,0,0,0,12,82973,21,14,22,11,112843280,28560,19040,10.3257,1000,0,0,0,0
88476,797161664,679347,679347,0,43.782,1455.46,1000,0,0,0,0,0,0,0,12,83971,21,14,22,11,114200560,28560,19040,10.3259,1000,0,0,0,0
89537,797161664,679347,679347,0,43.851,1500,1000,0,0,0,0,0,0,0,12,84981,21,14,22,11,115574160,28560,19040,10.3263,1000,0,0,0,0
90588,797161664,679347,679347,0,43.636,1360.21,1000,0,0,0,0,0,0,0,12,85979,21,14,22,11,116931440,28560,19040,10.3263,1000,0,0,0,0
91627,797161664,679347,679347,0,48.212,1381.3,1000,0,0,0,0,0,0,0,12,86966,21,14,22,11,118273760,28560,19040,10.3265,1000,0,0,0,0
92674,797161664,679347,679347,0,44.876,1395.98,1000,0,0,0,0,0,0,0,12,87954,21,14,22,11,119617440,28560,19040,10.3258,1000,0,0,0,0
93730,797161664,679347,679347,0,45.502,1441.19,1000,0,0,0,0,0,0,0,12,88961,21,14,22,11,120986960,28560,19040,10.3264,1000,0,0,0,0
94789,797161664,679347,679347,0,43.992,1224.05,1000,0,0,0,0,0,0,0,12,89968,21,14,22,11,122356480,28560,19040,10.3266,1000,0,0,0,0
95837,797161664,679347,679347,0,43.846,1358.5,1000,0,0,0,0,0,0,0,12,90960,21,14,22,11,123705600,28560,19040,10.3263,1000,0,0,0,0
96897,797161664,679347,679347,0,43.597,1227.56,1000,0,0,0,0,0,0,0,12,91967,21,14,22,11,125075120,28560,19040,10.3264,1000,0,0,0,0
97943,797161664,679347,679347,0,43.377,1546.22,1000,0,0,0,0,0,0,0,12,92964,21,14,22,11,126431040,28560,19040,10.3269,1000,0,0,0,0
98995,797161664,679347,679347,0,43.105,1318.39,1000,0,0,0,0,0,0,0,12,93962,21,14,22,11,127788320,28560,19040,10.3268,1000,0,0,0,0
100044,797161664,679347,679347,0,43.72,1419.96,1000,0,0,0,0,0,0,0,12,94959,21,14,22,11,129144240,28560,19040,10.3269,1000,0,0,0,0
101105,797161664,679347,679347,0,43.294,1485.44,1000,0,0,0,0,0,0,0,12,95966,21,14,22,11,130513760,28560,19040,10.3269,1000,0,0,0,0
102156,797161664,679347,679347,0,43.38,1151.29,1000,0,0,0,0,0,0,0,12,96959,21,14,22,11,131864240,28560,19040,10.3265,1000,0,0,0,0
103213,797161664,679347,679347,0,43.571,1032.97,1000,0,0,0,0,0,0,0,12,97970,21,14,22,11,133239200,28560,19040,10.3273,1000,0,0,0,0
104266,797161664,679347,679347,0,44.769,1489.46,1000,0,0,0,0,0,0,0,12,98968,21,14,22,11,134596480,28560,19040,10.3272,1000,0,0,0,0
105313,797161664,679347,679347,0,43.62,1489.27,1000,0,0,0,0,0,0,0,12,99961,21,14,22,11,135946960,28560,19040,10.327,1000,0,0,0,0
106367,797161664,679347,679347,0,44.998,1624.32,1000,0,0,0,0,0,0,0,12,100966,21,14,22,11,137313760,28560,19040,10.3275,1000,0,0,0,0
107427,797161664,679347,679347,0,45.51,1576.42,1000,0,0,0,0,0,0,0,12,101973,21,14,22,11,138683280,28560,19040,10.3276,1000,0,0,0,0
108470,797161664,679347,679347,0,44.327,1352.12,1000,0,0,0,0,0,0,0,12,102965,21,14,22,11,140032400,28560,19040,10.3277,1000,0,0,0,0
109529,797161664,679347,679347,0,43.996,1361.11,1000,0,0,0,0,0,0,0,12,103967,21,14,22,11,141395120,28560,19040,10.3275,1000,0,0,0,0
110577,797161664,679347,679347,0,43.429,1429.28,1000,0,0,0,0,0,0,0,12,104965,21,14,22,11,142752400,28560,19040,10.3277,1000,0,0,0,0
111627,797161664,679347,679347,0,43.629,1451.41,1000,0,0,0,0,0,0,0,12,105957,21,14,22,11,144101520,28560,19040,10.3273,1000,0,0,0,0
112686,797161664,679347,679347,0,43.926,1553.3,1000,0,0,0,0,0,0,0,12,106964,21,14,22,11,145471040,28560,19040,10.3275,1000,0,0,0,0
113740,797161664,679347,679347,0,43.323,1562.66,1000,0,0,0,0,0,0,0,12,107971,21,14,22,11,146840560,28560,19040,10.3281,1000,0,0,0,0
114782,797161664,679347,679347,0,43.217,1336.25,1000,0,0,0,0,0,0,0,12,108959,21,14,22,11,148184240,28560,19040,10.328,1000,0,0,0,0
115844,797161664,679347,679347,0,43.213,1481.48,1000,0,0,0,0,0,0,0,12,109971,21,14,22,11,149560560,28560,19040,10.3284,1000,0,0,0,0
116895,797161664,679347,679347,0,43.92,1449.28,1000,0,0,0,0,0,0,0,12,110968,21,14,22,11,150916480,28560,19040,10.3283,1000,0,0,0,0
117949,797161664,679347,679347,0,46.033,1425.18,1000,0,0,0,0,0,0,0,12,111965,21,14,22,11,152272400,28560,19040,10.328,1000,0,0,0,0
119001,797161664,679347,679347,0,43.427,1272,1000,0,0,0,0,0,0,0,12,112966,21,14,22,11,153633760,28560,19040,10.3281,1000,0,0,0,0
120051,797161664,679347,679347,0,44.303,1124.33,1000,0,0,0,0,0,0,0,12,113960,21,14,22,11,154985600,28560,19040,10.3279,1000,0,0,0,0
121108,797161664,679347,679347,0,44.637,1370.7,1000,0,0,0,0,0,0,0,12,114967,21,14,22,11,156355120,28560,19040,10.3283,1000,0,0,0,0
122157,797161664,679347,679347,0,43.525,1364.28,1000,0,0,0,0,0,0,0,12,115964,21,14,22,11,157711040,28560,19040,10.3284,1000,0,0,0,0
123208,797161664,679347,679347,0,43.647,1460.63,1000,0,0,0,0,0,0,0,12,116961,21,14,22,11,159066960,28560,19040,10.3283,1000,0,0,0,0
